issue_id,severity,review_source,location,explanation,required_correction,evidence_needed,resolution,verification_status
BM-11,Minor,BENCHMARK_REVIEW.md,06_figures_tables/surviving_mutants.csv (RBC-01 SVR:'ALL' and SVR:'N'; RBC-02 SVR:'OWN'; RBC-03 CBR:bool); EVIDENCE_REQUIRED.md E7,28 surviving mutants are untriaged and several sit in security-critical RBAC cases; until classified as equivalent vs test gap the RBAC oracle-strength claim is indeterminate,Complete E7 triage of all 28 survivors; fix identified test gaps; disclose remaining equivalent mutants,09_peer_review_audit/mutant_triage.md with per-mutant classification and any added tests,,OPEN
BM-12,Editorial,BENCHMARK_REVIEW.md,tex line 310 (\includegraphics{../06_figures_tables/...}); tex header (IEEEtran stand-in); Data Availability placeholders,Relative figure path outside the manuscript directory breaks journal packaging; official OJ-CS template port (E9) author list ORCIDs repository URL and DOI are all pending,Copy figures into 07_manuscript/ or a figures/ subdir; port to the official IEEE Open Journals template; resolve placeholders before submission,Compiling submission package under the official template,,OPEN
BM-13,Editorial,BENCHMARK_REVIEW.md,v1/.venv/; cases/*/*/tests/__pycache__/ and reference/__pycache__/; 03_source_code/harness/__pycache__/,Virtual environment and bytecode caches are inside the would-be release tree; release hygiene and artifact size,Exclude .venv and __pycache__ from the public artifact (packaging manifest or .gitignore-equivalent),Clean artifact listing,,OPEN
ST-01,Major,STATISTICS_REPRODUCIBILITY_REVIEW.md,04_experiments/STUDY_PROTOCOL.md Sec 2 (k=5; Wilson; McNemar); EXPERIMENT_PLAN.md Analysis,Unit of analysis is underspecified: with 5 runs per (model condition case) cell the protocol never states which collapse (majority any-of-5 first-run or mean) feeds the Wilson CI and the McNemar pairing; per-test proportions pool 505 tests clustered in 36 cases so naive Wilson CIs are invalid (effective N near 36),Pre-specify the run-collapse rule for each statistic before any paid run; make all test-level intervals cluster-aware (bootstrap over cases); log the decision in PROTOCOL_AMENDMENTS.md,Amended frozen protocol text dated before first API call,,OPEN
ST-02,Major,STATISTICS_REPRODUCIBILITY_REVIEW.md,05_results/mutation_results.jsonl; mutation_check.py; tex Sec X; T3_mutation_sensitivity.csv,Mutation statistics: unstratified selection yields SVR-dominated mix (73.5%) biasing the kill rate upward; three zero-mutant cases silently excluded; no CI reported (Wilson 95% [89.1% 94.6%] and clustered so wider); per-category rates on 12-36 mutants without uncertainty; crash-kills not separated from assertion-kills; skipped mutants silently dropped,Report per-operator kill rates and a cluster-aware CI; disclose zero-mutant cases; stratify future selection; separate crash vs assertion kills; log skipped mutants,Regenerated analysis outputs and amended Sec X text,,OPEN
ST-03,Major,STATISTICS_REPRODUCIBILITY_REVIEW.md,03_source_code/harness/run_case.py (subprocess.run timeout=600 with no TimeoutExpired handling; no sandbox); validate_cases.py (forbidden-import scan covers tests/reference only),Harness is unsafe and non-robust for model-generated code: a hanging candidate raises uncaught TimeoutExpired and aborts the whole run_all batch leaving truncated JSONL; candidates execute with full user privileges and live network with no runtime enforcement of the declared failure_conditions,Catch TimeoutExpired and record a per-case timeout disposition; run candidates network-isolated (subprocess sandbox or container); extend forbidden-behavior detection to candidates; classify timeout as model failure not infra error in the protocol,Hardened run_case.py with tests demonstrating timeout and network-block handling; protocol amendment,,OPEN
ST-04,Minor,STATISTICS_REPRODUCIBILITY_REVIEW.md,STUDY_PROTOCOL.md Sec 2 ('distinct seeds where the API supports them; temperature 0'); Sec 1 RQ4,Temp-0 determinism is muddled: seeds are a no-op at temperature 0 yet the plan invokes both; provider-side nondeterminism (the actual justification for k=5 and pass^k) is never stated; no rule for the degenerate case where all 5 responses are identical; pass^k estimator not named,State the provider-nondeterminism rationale; record response-content hashes and report duplicate rates; pre-specify handling of identical-run cells and the pass^k estimator,Amended protocol Sec 2 before first run,,OPEN
ST-05,Minor,STATISTICS_REPRODUCIBILITY_REVIEW.md,STUDY_PROTOCOL.md Sec 6 (failure handling),Excluding infra_error runs makes cell denominators random (2 exclusions shift a 36-case proportion ~6%); no re-run policy to restore k; pass^k undefined for partial-k cells; candidate-timeout classification (infra vs model failure) unstated,Pre-specify re-queue policy for infra errors up to a cap; define pass^k for k'<k; classify timeouts as model failures; add a sensitivity bound (infra errors as pass/fail) to the disposition table,Amended protocol Sec 6,,OPEN
ST-06,Minor,STATISTICS_REPRODUCIBILITY_REVIEW.md,STUDY_PROTOCOL.md Sec 2 power note,Power is acknowledged qualitatively but never quantified; readers cannot judge which condition deltas N=36 can resolve (McNemar at alpha=.05 needs roughly 8-9 one-sided discordant pairs; Wilson CI at 50% spans about +/-16 points),Add a minimum-detectable-effect paragraph with the arithmetic to the protocol and the manuscript's experimental-setup section,One added paragraph with verifiable calculations,,OPEN
ST-07,Minor,STATISTICS_REPRODUCIBILITY_REVIEW.md,08_supplementary_material/REPRODUCTION_GUIDE.md steps 1 and 3-5,Reproduction is destructive and uncheckable: steps 3-5 overwrite the archived raw JSONL a reproducer needs to diff against; no published checksums for seed CSVs or (timestamp-stripped) result files; Python 3.14 is recorded but not enforced by the venv step,Redirect reproduction output to a fresh directory; ship a comparison script; publish SHA-256 manifests; add an interpreter version check,Revised guide verified by a clean-room reproduction,,OPEN
ST-08,Editorial,STATISTICS_REPRODUCIBILITY_REVIEW.md,STUDY_PROTOCOL.md Sec 2 (Holm-Bonferroni across condition pairs per model only); RQ2,Multiplicity control is scoped to condition pairs per model; property-class contrasts (RQ2 six classes) and cross-model comparisons have no stated correction or an explicit descriptive-only label,State for each RQ whether contrasts are tested or descriptive and define the correction family accordingly,Amended protocol text,,OPEN
ST-09,Editorial,STATISTICS_REPRODUCIBILITY_REVIEW.md,02_benchmark_dataset/cases/*/case.json num_tests (hand-maintained); validate_cases.py (does not compare against collected),num_tests currently matches collected counts for all 36 cases (verified) but is hand-maintained and only cross-checked implicitly by run_all; a future edit could silently desynchronize composition Table I,Add a validator or CI check asserting num_tests equals pytest collection count per case,validate_cases.py (or a check script) failing on mismatch,,OPEN
