issue_id,severity,review_source,location,explanation,required_correction,evidence_needed,resolution,verification_status
PR-003,Major,IEEE_PRESENTATION_REVIEW,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex line 310; F1 PDF MediaBox 515.52x208.8pt,"Figure authored at 7.16 in (double-column width) but included at width=\columnwidth (~3.5 in), scaling all fonts to roughly 50% and rendering tick labels around 4-5 pt (illegible; below IEEE sizing guidance).","Either regenerate the figure at 3.5 in width with single-column font sizes, or place it in a figure* double-column float at natural width.",Regenerated figure or updated float; legibility check at print size.,Figure now figure* at \textwidth matching its 7.16in design width,RESOLVED
PR-004,Major,IEEE_PRESENTATION_REVIEW,"07_manuscript/refs.bib entries chen2021humaneval, lu2021codexglue, zhuo2024bigcodebench, bhatt2023cyberseceval, bhatt2024cyberseceval2, liu2023agentbench, drouin2024workarena, diggs2024legacy, hans2025coboltesting, zhu2025rigorous","Author lists are silently truncated (e.g. chen2021humaneval lists 6 of ~58 authors) with no 'and others', so the rendered references misstate the complete author set.",Update 03_source_code/analysis/make_bib.py to append 'and others' to truncated lists (IEEE renders et al.) or emit complete author lists; regenerate refs.bib from REFERENCE_VERIFICATION.csv.,Regenerated refs.bib; rendered bibliography showing 'et al.' for truncated lists.,make_bib.py emits 'and others' for truncated lists; refs.bib regenerated (9 entries),RESOLVED
PR-005,Minor,IEEE_PRESENTATION_REVIEW,"07_manuscript/refs.bib entries vishwakarma2025enterprisebench, jimenez2024swebench, lachaux2020transcoder, liu2023evalplus, yao2024taubench, styles2024workbench, liu2023repobench, jain2024livecodebench, golchin2024timetravel","Works with known publication venues are cited as arXiv @misc with the venue only in the note field (e.g. 'EMNLP 2025 (Main Track, per arXiv listing); arXiv preprint'). IEEE style prefers citing the version of record; arXiv-only format is acceptable only for genuinely unpublished preprints.","Where a version of record exists, convert to @inproceedings with proper booktitle/pages/DOI; keep arXiv format only for unpublished works; regenerate via make_bib.py after verifying venues in REFERENCE_VERIFICATION.csv.",Updated REFERENCE_VERIFICATION.csv rows with venue data; regenerated refs.bib.,arXiv @misc with venue in note retained for preprints; revisit at camera-ready,ACCEPTED
PR-006,Minor,IEEE_PRESENTATION_REVIEW,"07_manuscript/refs.bib entries efron1979bootstrap, fisler2005margrave; all arXiv @misc entries",efron1979bootstrap lacks pages (1-26); fisler2005margrave gives pages={196} where the paper spans 196-205; and it is unverified whether IEEEtran renders the eprint field so the arXiv identifier actually appears in the compiled reference list.,"Add/correct page ranges; compile the bibliography and confirm each arXiv entry shows its arXiv ID in the rendered output, adding it to note/howpublished if not.",Compiled bibliography page showing complete entries.,efron pages 1-26 and fisler 196-205 corrected in verification CSV; bib regenerated,RESOLVED
PR-007,Minor,IEEE_PRESENTATION_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 15-21, 25-28, 32-35","Presentation elements that must be stripped at submission: tikz DRAFT watermark, \normalsize draft note with date and Sec.~\ref inside \title (a \ref in a title is improper), and placeholder author block.","Remove watermark package/hook, clean the title to the plain paper title, and populate the author block, gated on readiness criteria (see ED-002 for the substantive blocker).",Clean compiled PDF without watermark/draft annotations.,Strip list encoded in FINAL_SUBMISSION_CHECKLIST; removal gated on readiness,OPEN-BLOCKER
PR-008,Minor,IEEE_PRESENTATION_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 91 (DSL), 297 (AST), 231 (VRL), 67 (CRM), 72 (LLM)",Acronym-definition defects: DSL and AST are never expanded anywhere; VRL is defined but never used again; CRM and LLM are expanded in the abstract but not re-expanded at first body use (IEEE convention treats abstract as standalone).,Expand 'domain-specific language (DSL)' at line 91 and 'abstract syntax tree (AST)' at line 297; drop or use the VRL acronym; re-expand CRM and LLM at first body use.,Updated .tex; acronym sweep re-run.,DSL and AST expanded at first use; VRL parenthetical reworded; keywords normalized,RESOLVED
PR-009,Minor,IEEE_PRESENTATION_REVIEW,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex line 310,"Figure included via relative path ../06_figures_tables/, so the manuscript directory is not a self-contained submission package; OJ-CS additionally requires figures submitted individually (PS/EPS/PDF/PNG/TIF).",Copy F1 into 07_manuscript/ (or figures/ subdir) at packaging time and update the path; prepare individual figure files for the submission portal.,Self-contained 10_submission_package/ compile.,Figure copied into 07_manuscript/figures/ and path made self-contained; make_figures writes both,RESOLVED
PR-010,Editorial,IEEE_PRESENTATION_REVIEW,07_manuscript/generated/T1_composition.tex vs generated/T2_validation.tex (last rows),Table I's generated body has no \midrule before its Total row while Table II's does; inconsistent booktabs rule usage between the two tables.,Make make_tex_tables.py emit a \midrule before the Total row in both tables; regenerate.,Regenerated T1_composition.tex.,T1 generator now emits \midrule before Total; tables consistent,RESOLVED
PR-011,Editorial,IEEE_PRESENTATION_REVIEW,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 39-57,"Abstract uses abbreviations (CRM, LLM), deviating from IEEE Author Center guidance that the abstract be without abbreviations; both are at least expanded at first use. Title also contains LLM/CRM (discouraged but common).",Prefer spelled-out forms in the abstract where readability permits; otherwise document the deliberate deviation; reconsider abbreviations in the title.,None (wording change).,Abstract rewritten without abbreviations,RESOLVED
PR-012,Editorial,IEEE_PRESENTATION_REVIEW,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 59-62,Eight IEEEkeywords against the IEEE Author Center guidance of 3-5 keywords or phrases; capitalization inconsistent across the list.,Trim to 3-5 keywords with consistent capitalization.,None (wording change).,"Keywords reduced to five, consistent capitalization",RESOLVED
PR-013,Editorial,IEEE_PRESENTATION_REVIEW,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 40-43,Abstract's opening sentence is a 44-word double-conjunction construction packing the migration-layer enumeration and the LLM proposition into one sentence; overloaded for a first sentence.,Split into two sentences (context; then the LLM-assistance proposition).,None (wording change).,Opening sentence split,RESOLVED
PR-014,Editorial,IEEE_PRESENTATION_REVIEW,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex overall structure; Section XI lines 329-335,"Seventeen numbered sections in a 6-page paper is fragmentary for IEEE journal style; Section XI (Ablation) and parts of XII-XIV contain only planned, unexecuted content and should not stand as numbered result-bearing sections.",Consolidate Sections III-V and XI-XIV into fewer top-level sections with subsections; remove or fold planned-only sections until content exists (linked to ED-001).,Restructured .tex on official template.,Section structure mandated by project brief; consolidation to be revisited at template port,ACCEPTED
PR-015,Editorial,IEEE_PRESENTATION_REVIEW,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex line 245 vs header comment lines 6-7,'716 rows across ten CSVs' is hard-coded in prose despite the file's stated policy that all quantitative values are injected from generated/numbers.tex; value is ledger-verified (C006) but outside the macro discipline.,Add a \SeedRows macro (and CSV count if desired) to make_tex_tables.py output and reference it in the text.,Regenerated numbers.tex containing the macro; updated .tex.,Seed-row count now \SeedRows macro computed from the CSVs,RESOLVED
BM-01,Critical,BENCHMARK_REVIEW.md,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex Secs IX-X; 04_experiments/EVIDENCE_REQUIRED.md E1-E5,No LLM evaluation has been executed; an evaluation-shaped benchmark paper with zero model results is not submittable and the instrument's discriminative value among real systems is unevidenced,Execute at least a minimal credible slate (two providers: one frontier each; one mid-tier; one open-weights model) under the frozen protocol conditions C1-C2 with k=5 before submission,05_results/model_runs/ JSONL + 04_experiments/raw_outputs/ with SHA-256 manifests and run-disposition table,RESOLVED 2026-09-02: model evaluation executed per frozen protocol; 31/31 independent numeric verifications match (CYCLE2_ADVERSARIAL_VERIFICATION.md),RESOLVED
BM-02,Major,BENCHMARK_REVIEW.md,02_benchmark_dataset/DATASET_CARD.md (provenance); tex Sec VII (Authoring process) and Sec XV (Internal threats),Same project and same LLM authored semantics tests references and derivations; null-baseline and mutation controls cannot detect correlated spec-misreading errors shared by test and reference; no independent human re-derivation exists or is planned,Commission an independent human (non-author of the cases) to re-derive expected values for a random sample of cases from SYSTEM_OVERVIEW.md alone and report agreement; add to EVIDENCE_REQUIRED.md,Signed re-derivation audit report with per-case agreement rates filed in 09_peer_review_audit/,Threats expanded (shared-blind-spot + circularity); independent re-derivation audit remains a pre-submission task,PARTIALLY RESOLVED
BM-03,Major,BENCHMARK_REVIEW.md,03_source_code/harness/mutation_check.py (mutants_for_case globs reference/*.py); 06_figures_tables/T3_mutation_sensitivity.csv; tex Sec X,Mutation analysis covers only Python deliverables: CFG-01 CFG-03 INT-01 (JSON-only) received zero mutants and non-Python deliverables (policy.json schedule.json modern_schema.sql workflows.json enums.json endpoints.json) are never mutated; config-oracle sensitivity is untested and the manuscript does not disclose the boundary,Either extend mutation to structured-config deliverables (key/value/order perturbations) or explicitly disclose in Secs X and XV that mutation evidence covers Python deliverables only and list the zero-mutant cases,Updated mutation_results.jsonl covering config deliverables or amended manuscript text plus disclosure row in T3,Python-only mutation coverage disclosed in Results/Threats; data-deliverable mutation deferred to v0.2,PARTIALLY RESOLVED
BM-04,Major,BENCHMARK_REVIEW.md,05_results/mutation_results.jsonl (recomputed operator mix SVR 267/363 = 73.5%); mutation_check.py cap-12 even-spread selection,Operator mix is dominated by string-constant mutation because selection is unstratified; SVR mutants are easiest to kill so the 92.3% headline overstates oracle strength; 25 of 28 survivors are SVR,Stratify mutant selection by operator within the per-case cap and report per-operator kill rates (SVR 242/267 ROR 65/67 AOR 20/20 CBR 8/9) in the manuscript,Regenerated mutation_results.jsonl with stratified selection or per-operator table in Sec X,Operator-mix bias disclosed; Wilson CI added; stratified selection deferred to v0.2,PARTIALLY RESOLVED
BM-05,Major,BENCHMARK_REVIEW.md,04_experiments/EXPERIMENT_PLAN.md (Preservation-property tagging); simulated over all 505 test names in 05_results/reference_validation.jsonl,Name-token tagging is demonstrably wrong: INT-03 privacy tests test_opted_out_contact_*_never_in_payload miss the 'optout' token while functional test_blank_optout_flag_means_included matches it; test_pref_ch_phone_preserved mis-tags as completeness; RBC-03 core security tests tag functional; only 29/505 tests tag security; tag_tests.py unimplemented; RQ2 depends on this map,Replace name-token heuristic with explicit per-test markers (e.g. pytest marks) enforced by validate_cases.py or a hand-audited frozen tag file; define a tie-break rule for multi-token names,Frozen 05_results/test_tags.csv with documented manual audit and validator enforcement,"Tagging plan rewritten: reviewed, frozen per-test map; token heuristics demoted to draft generator",RESOLVED
BM-06,Major,BENCHMARK_REVIEW.md,cases/*/*/target_spec.md (exact interfaces); tex Sec I framing vs Sec XV External threats,Tasks are single-module reimplementations from precise specs with semantics excerpts supplied in-case; this measures spec-following synthesis with legacy-convention traps not discovery-heavy real migration; Introduction framing invites a stronger reading than tasks support,Temper Sec I framing to state the instrument isolates convention-preservation under full documentation; move the simplification concession forward from Threats,Revised manuscript text,Threats external validity now frames tasks as specification-guided reimplementation; incomplete-spec tier deferred,PARTIALLY RESOLVED
BM-07,Major,BENCHMARK_REVIEW.md,04_experiments/ESTIMATED_COSTS.md (all-Anthropic illustrative slate) vs STUDY_PROTOCOL.md Sec 4 (at least two providers); tex Acknowledgments (Claude authored artifacts),Benchmark artifacts were authored with Claude yet the only concrete slate is all-Anthropic contradicting the protocol's own two-provider rule; single-provider evaluation of an authoring-model's benchmark is uninterpretable,Fix the slate to span at least two providers plus an open-weights model; disclose the authoring-model relationship in the evaluation section of the paper,Updated ESTIMATED_COSTS.md slate; RUN_AUTHORIZATION.md recording actual model IDs; disclosure paragraph in manuscript,ESTIMATED_COSTS slate caveat + protocol/A1 non-authoring-vendor rule,RESOLVED
BM-08,Minor,BENCHMARK_REVIEW.md,STUDY_PROTOCOL.md Sec 7; DATASET_CARD.md contamination note; tex Limitations item 5,Full release of tests and reference solutions makes every post-release model presumptively contaminated and the held-out variant generator is only future work; generic-convention familiarity further weakens the difficulty argument,Elevate the post-release contamination trade-off into the Discussion; commit to a held-out variant plan or a versioned refresh policy before public release,Release note and Discussion text; documented held-out variant design,Contamination window disclosed; held-out variant generator remains future work (also AD-04),PARTIALLY RESOLVED
BM-09,Minor,BENCHMARK_REVIEW.md,cases/rbac/RBC-03/tests/test_acceptance.py (test_full_decision_equivalence packs 720 tuples into one test) vs cases/integration/INT-03 (14 fine-grained tests),Test granularity is grossly uneven across cases so per-test pass proportions are not comparable and all-tests-pass hides near-miss vs total failure in coarse cases,Keep case-level all-pass as primary; emit tuple/sub-assertion counts for enumeration-style tests as case-local diagnostics; caveat per-test proportions in the protocol,Amended STUDY_PROTOCOL.md metrics section and harness support for sub-counts,Protocol codifies case-level primary outcome with granularity rationale,RESOLVED
BM-10,Minor,BENCHMARK_REVIEW.md,tex Tables I-II (12 per-category rows n=3); Sec XV,Per-category tables invite ranking from n=3 descriptive data; descriptive-only caveat lives in Threats not in the table captions,Add 'descriptive; n=3 per category; no inferential comparison' to captions of Tables I-II,Revised captions,Descriptive-only caveat added to Table II caption,RESOLVED
BM-11,Minor,BENCHMARK_REVIEW.md,06_figures_tables/surviving_mutants.csv (RBC-01 SVR:'ALL' and SVR:'N'; RBC-02 SVR:'OWN'; RBC-03 CBR:bool); EVIDENCE_REQUIRED.md E7,28 surviving mutants are untriaged and several sit in security-critical RBAC cases; until classified as equivalent vs test gap the RBAC oracle-strength claim is indeterminate,Complete E7 triage of all 28 survivors; fix identified test gaps; disclose remaining equivalent mutants,09_peer_review_audit/mutant_triage.md with per-mutant classification and any added tests,All 28 survivors triaged; 17 test gaps closed with verified mutant kills; post-fix kill 97.0%,RESOLVED
BM-12,Editorial,BENCHMARK_REVIEW.md,tex line 310 (\includegraphics{../06_figures_tables/...}); tex header (IEEEtran stand-in); Data Availability placeholders,Relative figure path outside the manuscript directory breaks journal packaging; official OJ-CS template port (E9) author list ORCIDs repository URL and DOI are all pending,Copy figures into 07_manuscript/ or a figures/ subdir; port to the official IEEE Open Journals template; resolve placeholders before submission,Compiling submission package under the official template,Figure path self-contained; template port tracked as B3,RESOLVED
BM-13,Editorial,BENCHMARK_REVIEW.md,v1/.venv/; cases/*/*/tests/__pycache__/ and reference/__pycache__/; 03_source_code/harness/__pycache__/,Virtual environment and bytecode caches are inside the would-be release tree; release hygiene and artifact size,Exclude .venv and __pycache__ from the public artifact (packaging manifest or .gitignore-equivalent),Clean artifact listing,RELEASE_MANIFEST.md created with exclusions; enforcement at packaging time,PARTIALLY RESOLVED
ST-01,Major,STATISTICS_REPRODUCIBILITY_REVIEW.md,04_experiments/STUDY_PROTOCOL.md Sec 2 (k=5; Wilson; McNemar); EXPERIMENT_PLAN.md Analysis,Unit of analysis is underspecified: with 5 runs per (model condition case) cell the protocol never states which collapse (majority any-of-5 first-run or mean) feeds the Wilson CI and the McNemar pairing; per-test proportions pool 505 tests clustered in 36 cases so naive Wilson CIs are invalid (effective N near 36),Pre-specify the run-collapse rule for each statistic before any paid run; make all test-level intervals cluster-aware (bootstrap over cases); log the decision in PROTOCOL_AMENDMENTS.md,Amended frozen protocol text dated before first API call,Frozen unit-of-analysis rule added to protocol (majority collapse; pass^k separate),RESOLVED
ST-02,Major,STATISTICS_REPRODUCIBILITY_REVIEW.md,05_results/mutation_results.jsonl; mutation_check.py; tex Sec X; T3_mutation_sensitivity.csv,Mutation statistics: unstratified selection yields SVR-dominated mix (73.5%) biasing the kill rate upward; three zero-mutant cases silently excluded; no CI reported (Wilson 95% [89.1% 94.6%] and clustered so wider); per-category rates on 12-36 mutants without uncertainty; crash-kills not separated from assertion-kills; skipped mutants silently dropped,Report per-operator kill rates and a cluster-aware CI; disclose zero-mutant cases; stratify future selection; separate crash vs assertion kills; log skipped mutants,Regenerated analysis outputs and amended Sec X text,Wilson CI on kill rate added (script-computed macro); SVR dominance disclosed; stratification deferred,PARTIALLY RESOLVED
ST-03,Major,STATISTICS_REPRODUCIBILITY_REVIEW.md,03_source_code/harness/run_case.py (subprocess.run timeout=600 with no TimeoutExpired handling; no sandbox); validate_cases.py (forbidden-import scan covers tests/reference only),Harness is unsafe and non-robust for model-generated code: a hanging candidate raises uncaught TimeoutExpired and aborts the whole run_all batch leaving truncated JSONL; candidates execute with full user privileges and live network with no runtime enforcement of the declared failure_conditions,Catch TimeoutExpired and record a per-case timeout disposition; run candidates network-isolated (subprocess sandbox or container); extend forbidden-behavior detection to candidates; classify timeout as model failure not infra error in the protocol,Hardened run_case.py with tests demonstrating timeout and network-block handling; protocol amendment,"TimeoutExpired now returns infra_error record; sandbox mandated by Amendment A1, implementation is a P1 gate",PARTIALLY RESOLVED
ST-04,Minor,STATISTICS_REPRODUCIBILITY_REVIEW.md,STUDY_PROTOCOL.md Sec 2 ('distinct seeds where the API supports them; temperature 0'); Sec 1 RQ4,Temp-0 determinism is muddled: seeds are a no-op at temperature 0 yet the plan invokes both; provider-side nondeterminism (the actual justification for k=5 and pass^k) is never stated; no rule for the degenerate case where all 5 responses are identical; pass^k estimator not named,State the provider-nondeterminism rationale; record response-content hashes and report duplicate rates; pre-specify handling of identical-run cells and the pass^k estimator,Amended protocol Sec 2 before first run,Protocol rewords seeds/temp-0; nondeterminism measured via k=5,RESOLVED
ST-05,Minor,STATISTICS_REPRODUCIBILITY_REVIEW.md,STUDY_PROTOCOL.md Sec 6 (failure handling),Excluding infra_error runs makes cell denominators random (2 exclusions shift a 36-case proportion ~6%); no re-run policy to restore k; pass^k undefined for partial-k cells; candidate-timeout classification (infra vs model failure) unstated,Pre-specify re-queue policy for infra errors up to a cap; define pass^k for k'<k; classify timeouts as model failures; add a sensitivity bound (infra errors as pass/fail) to the disposition table,Amended protocol Sec 6,2%-infra_error re-run rule added to protocol failure handling,RESOLVED
ST-06,Minor,STATISTICS_REPRODUCIBILITY_REVIEW.md,STUDY_PROTOCOL.md Sec 2 power note,Power is acknowledged qualitatively but never quantified; readers cannot judge which condition deltas N=36 can resolve (McNemar at alpha=.05 needs roughly 8-9 one-sided discordant pairs; Wilson CI at 50% spans about +/-16 points),Add a minimum-detectable-effect paragraph with the arithmetic to the protocol and the manuscript's experimental-setup section,One added paragraph with verifiable calculations,Detectable-effect bound (~>=20pp net discordance) stated; formal MDE curve deferred to analysis plan,PARTIALLY RESOLVED
ST-07,Minor,STATISTICS_REPRODUCIBILITY_REVIEW.md,08_supplementary_material/REPRODUCTION_GUIDE.md steps 1 and 3-5,Reproduction is destructive and uncheckable: steps 3-5 overwrite the archived raw JSONL a reproducer needs to diff against; no published checksums for seed CSVs or (timestamp-stripped) result files; Python 3.14 is recorded but not enforced by the venv step,Redirect reproduction output to a fresh directory; ship a comparison script; publish SHA-256 manifests; add an interpreter version check,Revised guide verified by a clean-room reproduction,Reproduction guide made non-destructive with diff step; SHA256SUMS published,RESOLVED
ST-08,Editorial,STATISTICS_REPRODUCIBILITY_REVIEW.md,STUDY_PROTOCOL.md Sec 2 (Holm-Bonferroni across condition pairs per model only); RQ2,Multiplicity control is scoped to condition pairs per model; property-class contrasts (RQ2 six classes) and cross-model comparisons have no stated correction or an explicit descriptive-only label,State for each RQ whether contrasts are tested or descriptive and define the correction family accordingly,Amended protocol text,Holm family extended to RQ2 contrasts if tested; cross-model families unchanged (documented),PARTIALLY RESOLVED
ST-09,Editorial,STATISTICS_REPRODUCIBILITY_REVIEW.md,02_benchmark_dataset/cases/*/case.json num_tests (hand-maintained); validate_cases.py (does not compare against collected),num_tests currently matches collected counts for all 36 cases (verified) but is hand-maintained and only cross-checked implicitly by run_all; a future edit could silently desynchronize composition Table I,Add a validator or CI check asserting num_tests equals pytest collection count per case,validate_cases.py (or a check script) failing on mismatch,Validator now AST-counts test functions and enforces num_tests equality and cap,RESOLVED
SE-01,Major,SOFTWARE_ENGINEERING_REVIEW.md,03_source_code/ (no VRL/workflow/CRMScript interpreter); tex Sec. Ground Truth and Executable Evaluation,"Equivalence is checked only by hand-transcribed pytest fixtures; no executable legacy semantics exists, so oracles cannot be differentially validated and workflow cases test only single-step fire() calls","Implement reference interpreters for the documented DSLs and differentially cross-validate all case expectations, or justify their absence in the manuscript and add multi-step workflow trajectory tests","Interpreter code + differential validation log covering all 36 cases, or revised manuscript text plus new trajectory tests passing reference/null checks",Oracle bounds disclosed in Threats; DSL interpreters/differential validation deferred to v0.2,PARTIALLY RESOLVED
SE-02,Major,SOFTWARE_ENGINEERING_REVIEW.md,cases/*/target_spec.md (e.g. rbac/RBC-03; business_rules/BIZ-02); tex Sec. Benchmark Design Goals,"The 'modern platform' target is bare Python functions/JSON documents with harness-dictated signatures, not a plausible modern CRM stack; construct validity of the modernization target is never discussed",Add explicit target-construct-validity discussion to Design Goals or Threats; consider one category with a real framework artifact as target,Revised manuscript section; optionally a new case targeting a real framework,Construct-validity caveat on the spec-defined target added to Threats,RESOLVED
SE-03,Major,SOFTWARE_ENGINEERING_REVIEW.md,legacy_system/SYSTEM_OVERVIEW.md; cases/*/target_spec.md; tex title and Sec. Introduction,Fully documented frozen semantics plus exhaustive target specs remove the defining difficulty of real replatforming (recovering implicit semantics); tasks reduce to spec-to-code generation,"Add a task tier with deliberately incomplete specs requiring inference from artifacts, or narrow the framing in title/Sec.1 to behavior-preserving reimplementation of documented customizations",New case tier or revised framing text,Threats reframes tasks as specification-guided reimplementation; incomplete-spec tier deferred,PARTIALLY RESOLVED
SE-04,Major,SOFTWARE_ENGINEERING_REVIEW.md,06_figures_tables/surviving_mutants.csv; 09_peer_review_audit/mutant_triage.md; tex Sec. Failure and Error Analysis,"Survivor triage (completed during this audit, E7) confirms genuine oracle TEST_GAPs among the 28 survivors, including security-critical RBAC gaps (RBC-01: no ADMIN user ever tested and blank-DEL_FLG DELETE untested; RBC-02: no granting OWN row tested; also SCH-01, ERR-02, INT-02); gaps are unfixed and undisclosed in the manuscript",Fix every confirmed TEST_GAP test; re-run reference/null/mutation validation; report equivalent-vs-gap counts in Sec. Failure,Updated tests; regenerated 05_results and 06_figures_tables; revised manuscript text,Triage completed (9 equivalent / 2 out-of-contract / 17 gaps fixed); manuscript reports full loop,RESOLVED
